Sample_ID,Architecture,Tool,Success_Status,Time_s,Mem_MB,Func_Count,Block_Count,IR_Stmt_Count
CWE401_Memory_Leak__int64_t_calloc_41_riscv64_Os.good,UCB RISC-V,ghidra,Success,7.99,738.48,129,185,1423
CWE401_Memory_Leak__int64_t_calloc_41_riscv64_Os.good,UCB RISC-V,angr,Failure - Crash,.70,112.63,0,0,0
CWE401_Memory_Leak__int64_t_calloc_41_riscv64_Os.good,UCB RISC-V,bap,Success,4.32,28.84,0,649,675
CWE401_Memory_Leak__int64_t_calloc_41_riscv64_Os.good,UCB RISC-V,llvm,Success,.01,8.38,0,0,0
CWE401_Memory_Leak__int64_t_calloc_02_armel_Ofast.good,ARM,ghidra,Success,66.56,1035.90,1303,32074,735613
CWE401_Memory_Leak__int64_t_calloc_02_armel_Ofast.good,ARM,angr,Success,21.99,511.20,3688,33602,657118
CWE401_Memory_Leak__int64_t_calloc_02_armel_Ofast.good,ARM,bap,Success,40.80,28.52,0,123783,219505
CWE401_Memory_Leak__int64_t_calloc_02_armel_Ofast.good,ARM,llvm,Success,.01,8.41,0,0,0
CWE197_Numeric_Truncation_Error__int_fgets_to_char_07_armel_O3.good,ARM,ghidra,Success,66.84,967.10,1303,32107,736372
CWE197_Numeric_Truncation_Error__int_fgets_to_char_07_armel_O3.good,ARM,angr,Success,23.24,511.81,3703,33607,657857
CWE197_Numeric_Truncation_Error__int_fgets_to_char_07_armel_O3.good,ARM,bap,Success,40.92,28.83,0,123877,219507
CWE197_Numeric_Truncation_Error__int_fgets_to_char_07_armel_O3.good,ARM,llvm,Success,.01,8.39,0,0,0
CWE401_Memory_Leak__char_realloc_11_riscv64_Os.good,UCB RISC-V,ghidra,Success,7.93,760.51,127,218,1666
CWE401_Memory_Leak__char_realloc_11_riscv64_Os.good,UCB RISC-V,angr,Failure - Crash,.71,112.85,0,0,0
CWE401_Memory_Leak__char_realloc_11_riscv64_Os.good,UCB RISC-V,bap,Success,4.32,28.83,0,765,805
CWE401_Memory_Leak__char_realloc_11_riscv64_Os.good,UCB RISC-V,llvm,Success,.01,8.64,0,0,0
CWE401_Memory_Leak__struct_twoIntsStruct_malloc_41_riscv64_O0.good,UCB RISC-V,ghidra,Success,8.15,824.42,132,217,2663
